epoch,accuracy,loss,val_accuracy,val_loss
0,0.4886363744735718,0.9902252554893494,0.6537216901779175,0.8382912874221802
1,0.7159090638160706,0.7099625468254089,0.8220064640045166,0.5113327503204346
2,0.7946428656578064,0.5156236886978149,0.844660222530365,0.4421781897544861
3,0.8238636255264282,0.45748916268348694,0.844660222530365,0.41463640332221985
4,0.8474025726318359,0.3928171694278717,0.8381876945495605,0.37907618284225464
5,0.8579545617103577,0.3733188807964325,0.8414239287376404,0.39748555421829224
6,0.8660714030265808,0.3442053496837616,0.8640776872634888,0.3508375585079193
7,0.8717532753944397,0.3237857222557068,0.8705501556396484,0.34476637840270996
8,0.8920454382896423,0.28254222869873047,0.8673139214515686,0.3287391662597656
9,0.8871753215789795,0.2795058786869049,0.8705501556396484,0.36242517828941345
10,0.8928571343421936,0.267886757850647,0.8834951519966125,0.3232796788215637
11,0.9050324559211731,0.25062471628189087,0.8867313861846924,0.3079359829425812
12,0.9099025726318359,0.23657211661338806,0.8867313861846924,0.3236057758331299
13,0.9147727489471436,0.21676965057849884,0.8867313861846924,0.30555617809295654
14,0.9245129823684692,0.20570173859596252,0.893203854560852,0.2853122055530548
15,0.9245129823684692,0.19787783920764923,0.8867313861846924,0.305438369512558
16,0.9293830990791321,0.18992450833320618,0.9061488509178162,0.2790672779083252
17,0.9350649118423462,0.18080304563045502,0.9061488509178162,0.28837159276008606
18,0.9415584206581116,0.1643877476453781,0.909385085105896,0.27110573649406433
19,0.9504870176315308,0.15794986486434937,0.8964401483535767,0.2866351306438446
20,0.9488636255264282,0.14946097135543823,0.9126213788986206,0.30029889941215515
21,0.9472402334213257,0.15026701986789703,0.8996763825416565,0.2950953543186188
22,0.9594155550003052,0.13261526823043823,0.8996763825416565,0.286327600479126
23,0.9521104097366333,0.1268511265516281,0.893203854560852,0.3014499843120575
24,0.9529221057891846,0.1354316920042038,0.9061488509178162,0.27811869978904724
25,0.9537337422370911,0.12305562198162079,0.9061488509178162,0.28581559658050537
26,0.9659090638160706,0.10203834623098373,0.909385085105896,0.2952592074871063
27,0.9626623392105103,0.09542547166347504,0.9158576130867004,0.2773307263851166
28,0.9675324559211731,0.09698715806007385,0.9158576130867004,0.2777651846408844
29,0.9691558480262756,0.09346738457679749,0.909385085105896,0.28696301579475403
30,0.9724025726318359,0.08844191581010818,0.9255663156509399,0.27173614501953125
31,0.9667207598686218,0.0869804322719574,0.9190938472747803,0.2901865541934967
32,0.9699675440788269,0.08713966608047485,0.9255663156509399,0.269745409488678
33,0.9732142686843872,0.07874894142150879,0.9223300814628601,0.2622321546077728
34,0.9764610528945923,0.07400591671466827,0.9190938472747803,0.26907187700271606
35,0.9772727489471436,0.07379930466413498,0.9158576130867004,0.28945887088775635
36,0.9772727489471436,0.07933379709720612,0.9223300814628601,0.25445616245269775
37,0.9853895902633667,0.06369617581367493,0.9029126167297363,0.3315547704696655
38,0.975649356842041,0.06785082817077637,0.9190938472747803,0.2819201648235321
39,0.9853895902633667,0.06176559627056122,0.9190938472747803,0.29212096333503723
40,0.9788960814476013,0.05754011496901512,0.909385085105896,0.2947116792201996
41,0.9853895902633667,0.06043084338307381,0.9158576130867004,0.28963249921798706
42,0.9805194735527039,0.053773775696754456,0.9190938472747803,0.2968541085720062
43,0.9853895902633667,0.05559484660625458,0.9288026094436646,0.29754459857940674
44,0.9813311696052551,0.05074742063879967,0.9288026094436646,0.2599671185016632
45,0.9878246784210205,0.04625315964221954,0.9223300814628601,0.2971024215221405
46,0.9886363744735718,0.04267142340540886,0.9288026094436646,0.2711023986339569
47,0.9870129823684692,0.04894685372710228,0.9061488509178162,0.32668694853782654
48,0.9935064911842346,0.0381673201918602,0.9190938472747803,0.28632333874702454
49,0.989448070526123,0.04332040995359421,0.9223300814628601,0.2994336783885956
50,0.9902597665786743,0.03468344733119011,0.9255663156509399,0.29172483086586
51,0.9902597665786743,0.0391109436750412,0.9223300814628601,0.3240203857421875
52,0.9918830990791321,0.034699466079473495,0.9223300814628601,0.318689227104187
53,0.9910714030265808,0.03294192999601364,0.9288026094436646,0.29832854866981506
54,0.9870129823684692,0.03925551846623421,0.9126213788986206,0.3530600666999817
